name,vr,teff,logg,feh,teffm,loggm,fehm,ca4227,g4300,hgama,hgamf,fe4383,ca4455,fe4531,fe4668,hbeta,fe5015,mg1,mg2,mgb,fe5270,fe5335,fe5406,fe5709,fe5782,nad,tio1,tio2,sp_type,spec,q_sp_type,q_logg,q_feh,q_vr,logg_m,feh_m
HD013612,-10.55,6097,4.15,-0.11,6093,4.03,-0.01,0.5075,3.9719,-0.7701,1.3397,2.0224,0.5238,2.3582,2.2497,3.1961,3.5334,0.013,0.0786,1.6769,1.6261,1.3189,0.6317,0.4936,0.3173,1.0513,0.0008,0.0052,F8V,F,C,1,1,0,4.03,-0.01
HD013612,-10.49,6097,4.15,-0.11,6072,4.03,-0.03,0.4712,3.9043,-0.6955,1.3296,2.0004,0.53,2.3478,2.1795,3.2111,3.5483,0.0105,0.0763,1.6593,1.6308,1.313,0.6354,0.463,0.3418,1.0494,0.0017,0.006,F8V,F,C,1,1,0,4.03,-0.03
HD013783,-32.37,5451,4.14,-0.67,5539,4.34,-0.53,0.8748,5.3718,-4.3264,-0.9756,3.0352,0.5865,2.1716,1.7671,1.9768,3.1373,0.0268,0.1456,3.5651,1.6227,1.3795,0.8086,0.4035,0.1787,1.5354,0.0061,0.0015,G8V,G,D,1,3,0,4.34,-0.53
HD013974,-5.88,5597,3.92,-0.41,5737,4.42,-0.45,0.7698,4.1052,-2.0574,0.4411,2.3347,0.4982,2.1553,1.1511,2.509,3.0043,0.0321,0.1162,2.4025,1.5398,1.4221,0.7941,0.2857,0.1913,1.6323,0.0041,0.0025,G0.5VFe-0.5,G,B,1,3,0,4.42,-0.45
HD013974,2.79,5597,3.92,-0.41,5854,4.48,-0.42,0.767,4.1033,-2.062,0.4146,2.2959,0.4869,2.1547,1.1793,2.4845,2.8833,0.033,0.1184,2.4418,1.5917,1.3389,0.8416,0.2802,0.2325,1.7782,0.0114,0.001,G0.5VFe-0.5,G,B,1,3,0,4.48,-0.42
HD014128,3.9,7026,4.08,-0.2,7314,4.28,0.03,0.3337,0.7092,5.6501,5.0465,0.4852,0.3463,2.3096,0.6572,5.5024,3.6977,0.0035,0.0454,0.5069,1.3987,1.148,0.498,0.2768,0.1009,0.7685,0.006,0.0039,F2IIIpSr,F,C,1,0,0,4.28,0.03
HD014128,7.66,7026,4.09,-0.15,7281,4.28,0.03,0.2892,0.5114,5.6378,4.9525,0.4193,0.336,2.3193,0.7105,5.4963,3.6718,0.001,0.0417,0.5067,1.4029,1.2149,0.459,0.2548,0.0899,0.9986,0.0158,0.007,F2IIIpSr,F,C,1,0,0,4.28,0.03
HD014214,8.25,5950,4.16,0.01,5909,3.93,0.09,0.5926,4.1753,-1.261,1.1542,2.5217,0.6242,2.5019,2.9684,3.2293,4.0577,0.0149,0.0911,2.0137,1.8612,1.4623,0.8258,0.5348,0.3748,1.1378,0.0033,0.0071,G1V,G,C,1,2,0,3.93,0.09
HD014214,8.24,5950,4.16,0.01,5908,3.93,0.09,0.5926,4.1431,-1.2152,1.1591,2.4551,0.6264,2.5056,2.9314,3.2038,4.0123,0.0154,0.0909,1.971,1.8569,1.4363,0.7933,0.5652,0.3813,1.1737,0.0035,0.0068,G1V,G,C,1,2,0,3.93,0.09
HD014214,34.16,5950,4.16,0.01,5918,3.95,0.09,0.5394,4.019,-1.1842,1.1395,2.379,0.6361,2.5456,2.9617,3.2194,3.9052,0.0205,0.0927,1.9403,1.8762,1.4938,0.7057,0.4796,0.3203,1.2518,0.0142,0.0056,G1V,G,C,1,2,0,3.95,0.09
